noteName,url,groupId,navigationGroupId,tabColouringGroupId,userCorrectionGroupId,title,cleanedContent,entities,entitiesInTitle,language,isOpenAtExport,id,parentId
Emulation & Games,<???>,0,-1,<???>,<???>,Emulation & Games,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,<???>,4F8DA08A-7859-46C3-ADB1-22D21D44FAC4,<???>
Onboardings,<???>,1,-1,<???>,<???>,Onboardings,"""J'avais un soucis de hiérarchisation de notes, sur Notion j'ai un équivalent de ""folders"". Je n'ai pas tenu avec le journaling. Soit c'est un truc que j'utilise tous les jours, mais dans une semaine j'ai 100 notes et je peux pas avoir des centaines de notes dans une simple liste."" ""Y'a un gros sujet systémique: Notion est devenu très appealing le jour où on a sû qu'il avaient 300 millions derrière et qu'ils n'allaient pas disparaitre demain. Le côté adoption va mettre du temps avant que je puisse mettre des choses dans quelque chose de safe, qui ne va pas cracher."" ""Je ne comprends pas complètement comment passer d'un monde à l'autre. Comment ça se fait que j'ai plein de notes déjà ouvertes."" (en référence aux notes ""How to beam"" et ""Capture""). Il cherche encore à les fermer. Il capture quelque chose dans la note ""test jira"" et ne comprends pas pourquoi elle ne se trouve pas dans le switcher des notes récentes alors qu'il a pivoté dessus -> C'est possible qu'on ait une régression, elle devrait être présente en haut dans le switcher. ""Ca me parle, je suis ingénieur mais c'est très geek. Est-ce que c'est destiné aux gens hyper geek? Il y'a moyen de dire la même chose dans une version plus vulgarisé: C'est hyper sécurisé, mais pour chaque device que vous allez utiliser ave cbeam il y'aura une petite manipulation"" ""J'utilise beaucoup Notion et Evernote, beam ça fait un nouveau cerveau que je dois créer. Comment je vais différencier ce que je fais dans Notion et dans beam? Combien de temps ça va me prendre de cleaner chaque apps ?"" ""J'aimerai voir des users stories pour comprendre mieux ce qu'est beam. Est-ce que c'est pour les personnes qui aiment partager leur point de vue sur le web? Ou est-ce que c'est une espèce de twitter? Où est-ce que je partage avec des proches mais j'ai peur de perdre mon point de vue si les proches n'ont pas le même point de vue que moi? Ca deviendrait + un outil où je cherche des choses sur le web puis je partage mes notes et cette discution aura lieu dans beam comme une note qui vit et qu'on pourra rouvrir plus tard. Est-ce qu'on rattache à des tags ou catégories pour éviter que ce soit le bordel? Commencer à créer une structure avec des visualisations du style mindmap."" ""Ca fait longtemps que je ne mets plus de mail dans des dossiers, j'archive zero. Et j'utilise la recherche. Plus personne ne veut organiser. Mon avis c'est que plus personne ne voudra organiser ses notes donc les tags aideraient beaucoup. La structure des notes va être très importante. De mon point de vue il faut avoir une proposition de valeur qui est hyper focus ""on pense que beam peut être utilisé dans des contextes différents mais choisissez un positionnement au début. beam va être positionné comme un outil pour quelque chose en particulier pour éviter d'avoir quelque chose de générique."" ""C'est une superbe proposition de valeur mais comment faire ça avec 5 autres propositions de valeur de manière efficace ce qui peut m'inquiéter. SI vous faites ça super bien, ça peut être une app en soit sur laquelle vous allez pouvoir construire d'autres choses par dessus."" ""Le matin qui me dit -> j'ai ce meeting là -> est-ce que l'agenda est clair. beam pourrait m'accompagner pre meeting, pendant le meeting avec la possibilité d'écrire des notes et après le meeting pour partager de plusieurs façons (de manière publique tout en gardant une version privée de la note pour continuer à écrire de mon côté)."" Note Olivier: Big Sur donc vieille version de Safari. Il a eu un peu peur quand il a vu le texte expliquant comment importer ses mots de passe depuis la vieille version de Safari -> Pas d'import de password.","PER[[""note olivier""]] - LOC[[]] - ORG[[""evernote"", ""safari""]]",PER[[]] - LOC[[]] - ORG[[]],fr,<???>,FF30878B-4B60-4766-881C-E57E96A9416A,<???>
Terrains & Maisons,<???>,2,-1,<???>,<???>,Terrains & Maisons,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,<???>,905D3A19-26EF-421D-9527-680FA5114F5B,<???>
Bookmarks,<???>,3,-1,<???>,<???>,Bookmarks,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,<???>,2C5FA89C-C07A-49A2-BD82-B7022E0F1866,<???>
Password Manager Fail List,<???>,4,-1,<???>,<???>,Password Manager Fail List,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,<???>,FE2611BE-BC9F-4852-BB1C-03B802194202,<???>
<???>,https://s3.eu-west-3.amazonaws.com/downloads.dev.beamapp.co/bluepineapple/0.4.1/20220408.110621/release_notes.html,5,5,<???>,<???>,,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,B56669C1-5465-510F-A931-9958EECDE733,<???>
<???>,https://www.lemonde.fr/,6,6,<???>,<???>,Le Monde - Toute L’actualite En Continu,"Le contenu de ce site est le fruit du travail de 500 journalistes qui vous apportent chaque jour une information de qualité, fiable, complète, et des services en ligne innovants. Ce travail s’appuie sur les revenus complémentaires de la publicité et de l’abonnement.",PER[[]] - LOC[[]] - ORG[[]],"PER[[]] - LOC[[]] - ORG[[""le monde""]]",fr,false,4A9703C9-5A41-5E32-AB4D-8413DA15623C,<???>
<???>,https://www.lemonde.fr/international/live/2022/04/08/guerre-en-ukraine-en-direct-environ-40-civils-tues-a-la-gare-de-kramatorsk-l-ue-denonce-une-attaque-aveugle_6121139_3210.html,7,7,<???>,<???>,"Guerre En Ukraine, En Direct : Environ 40 Civils Tues A La Gare De Kramatorsk ; L’ue Denonce","Au moins 30 personnes ont été tuées et 100 autres blessées après que deux roquettes se sont abattues sur la gare de Kramatorsk, dans l’est de l’Ukraine, par laquelle des milliers de personnes sont évacuées depuis plusieurs jours vers le reste du pays. Un journaliste de l’Agence France-Presse a vu au moins 20 sacs mortuaires contenant des corps. Présent sur place plus tôt, il avait constaté que des centaines de personnes espéraient encore y trouver un train pour quitter la ville, sous menace d’une offensive russe majeure. « Deux roquettes sont tombées sur la gare de Kramatorsk », avait précisé la compagnie ferroviaire ukrainienne. Au total, ce sont donc plus de 11 millions de personnes, soit plus d’un quart de la population, qui ont dû quitter leur foyer soit en traversant la frontière pour gagner les pays limitrophes, soit en trouvant refuge ailleurs en Ukraine. La porte en bois a été défoncée. Les ordinateurs de la salle informatique ont été volés. D’autres jonchent le sol, éclatés en deux, piétinés. « Les Russes n’avaient plus de place pour les prendre donc ils les ont cassés », soupire Irina Bondarenko, la directrice de l’école numéro 5 de Trostianets. La ville du nord-est de l’Ukraine, située à 30 kilomètres de la frontière russe, a été occupée dès le premier jour de guerre, le 24 février. Pendant un mois, ses 20 000 habitants ont vécu sous la férule des militaires envoyés par Moscou. Un reportage à lire ici. « Le but de la frappe orchestrée par le régime de Kiev sur la gare ferroviaire de Kramatorsk était d’empêcher le départ de la population de la ville afin de pouvoir l’utiliser comme bouclier humain », a accusé le ministère de la défense russe, assurant que le missile avait été tiré depuis la localité de Dobropillia. Le ministère de la défense réaffirme ne pas utiliser de missile Tochka et affirme que les photos et vidéos mises en ligne sur les réseaux sociaux portent sur des manœuvres militaires russes en Biélorussie datant de février 2022. Alors que des alertes se multiplient sur les exactions commises contre des femmes et des jeunes filles en Ukraine mais aussi, en dehors de ses frontières, et sur les risques de traite d’êtres humains, les députées Emilie Cariou et Albane Gaillot appellent l’Etat français, dans une tribune au « Monde », à assurer pleinement la protection des personnes réfugiées. Le dispositif, qui ne ciblera pas les particuliers, concerne moins de 5 000 gros consommateurs, avec des exceptions prévues pour les services publics essentiels (hôpitaux, écoles…) et certaines entreprises. Les autorités planchaient sur ce texte depuis l’an dernier et son adoption était prévue avant le déclenchement de la guerre en Ukraine, qui fait aujourd’hui craindre pour l’approvisionnement en gaz russe. « Mais évidemment ce décret prend un relief particulier vu la crise que nous vivons aujourd’hui », souligne une source gouvernementale. Les pays de l’Union européenne (UE) ont déjà gelé au moins 29,5 milliards d’euros d’avoirs russes et biélorusses dans le cadre des sanctions adoptées contre la guerre menée en Ukraine, selon un décompte encore partiel annoncé par la Commission européenne, vendredi. Le commissaire européen à la justice, Didier Reynders, a invité « instamment tous les Etats membres à prendre toutes les mesures nécessaires pour appliquer les sanctions et ceux qui ne l’ont pas encore fait à faire rapport à la Commission sans délai ». « Adopter des sanctions ne suffit pas. Il est également important de les mettre en pratique et de suivre nos progrès », a-t-il déclaré, cité dans le communiqué.","PER[[""irina bondarenko"", ""emilie cariou"", ""albane gaillot"", ""didier reynders""]] - LOC[[""kramatorsk"", ""ukraine"", ""trostianets"", ""moscou"", ""kiev"", ""dobropillia""]] - ORG[[""agence france-presse"", ""tochka""]]",PER[[]] - LOC[[]] - ORG[[]],fr,false,F3E2D5B4-A908-51A1-BEBC-FCC84D718FCD,4A9703C9-5A41-5E32-AB4D-8413DA15623C
<???>,https://www.artstation.com/?sort_by=community,3,3,<???>,<???>,Explore,,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,5B01DD42-B48B-50AA-BF86-65567293399E,<???>
<???>,https://www.artstation.com/artwork/eJP6kY,8,8,<???>,<???>,"Practice, Xia_Yu Xia_Yu",,PER[[]] - LOC[[]] - ORG[[]],PER[[]] - LOC[[]] - ORG[[]],und,false,BDD12860-5BC6-58FA-95FD-CBF49323C3BC,5B01DD42-B48B-50AA-BF86-65567293399E
